Category,Items,Quantity,Restaurant,Route,Date,Destination Address,,,,,,,,,,,,,,,,, 
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",2,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D010,Route 1,2/17/2022,1178 Broadway,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D014,Route V,2/17/2022,114 S. Ridge St. Rye Brook,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D021,Route 3,2/17/2022,100 W 67th St,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",2,D003,Route 2,2/17/2022,150 E 52nd St.,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",2,D033,Route V,2/17/2022,275 7th Ave ,,,,,,,,, ,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,R001,Route V,2/17/2022,286 Madison Ave,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D024,Route 1,2/17/2022,691 Broadway,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",2,D018,Route 3,2/17/2022,1407 Broadway,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D034,Route V,2/17/2022,127 4th Ave,,,,,,,,,,,,,,,,,
SAUCE,"White Quinoa, Cooked 1 x 64oz",1,D027,Route 1,2/17/2022,709 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Maple Rosemary Vinaigrette 1 x 1gal,1,D003,Route 2,2/17/2022,150 E 52nd St.,,,, ,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,1,D025,Route 3,2/17/2022,1319 1st Ave.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D023,Route 1,2/17/2022,166 N 4th St,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D007,Route 3,2/17/2022,2884 Broadway,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,2,D032,Route V,2/17/2022,127 4th ave,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,1,D011,Route 3,2/17/2022,16 E 23rd St.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,3,D013,Route 3,2/17/2022,1297 Lexington Ave.,,,,,,,,,,,,,,,,,
SAUCE,Rosemary Vinaigrette 1 x 1gal,1,D017 - Soho,Route 2,2/17/2022,70 Prince St.,,,,,,,,,,,,,,,,,
